"","i","j","fij"
"474","Draguignan","Château-Thierry",655243.779915901
"475","Toulon","Château-Thierry",685824.687644226
"476","Avignon","Château-Thierry",576091.56046737
"477","La Roche-sur-Yon","Château-Thierry",447107.480578874
"478","Les Sables d'Olonne","Château-Thierry",480463.28073434
"479","Poitiers","Château-Thierry",357012.57131404
"480","Plombières-les-Bains","Château-Thierry",255488.597681513
"481","Épinal","Château-Thierry",244566.454022778
"482","Auxerre","Château-Thierry",139435.582466712
"483","Sens","Château-Thierry",94483.0681586325
"484","Tonnerre","Château-Thierry",138574.325424423
"485","Élancourt","Château-Thierry",110883.16090156
"486","La Verrière","Château-Thierry",284088.19828313
"487","Mantes la Jolie","Château-Thierry",123689.697292903
"488","Rambouillet","Château-Thierry",123340.897768897
"489","Saint-Quentin-en-Yvelines","Château-Thierry",119868.776334334
"490","Leipzig","Château-Thierry",690405.650825571
"491","München","Château-Thierry",610785.967915441
"492","Berlin","Château-Thierry",804037.458307135
"493","Bruxelles","Château-Thierry",211935.79720412
"494","Charleroi","Château-Thierry",169763.568956229
"495","Gent","Château-Thierry",224976.731322499
"496","Liège","Château-Thierry",236997.54123711
"497","Louvain-la-Neuve","Château-Thierry",200672.141262864
"498","Namur","Château-Thierry",190260.384285384
"499","Tournai","Château-Thierry",173838.735031387
"500","Rio de Janeiro","Château-Thierry",11471505.6195205
"501","Montréal","Château-Thierry",5600933.77096479
"502","Trois-Rivières","Château-Thierry",7074098.74704591
"503","A Coruña","Château-Thierry",1104980.7926577
"504","Alcalá de Guadaíra","Château-Thierry",1502642.89685872
"505","Avilés","Château-Thierry",940747.401994633
"506","Barcelone","Château-Thierry",856882.29522545
"507","Bilbao","Château-Thierry",806821.66970739
"508","Dos Hermanas","Château-Thierry",1511816.95341405
"509","Elche","Château-Thierry",1244025.25298291
"510","Granada","Château-Thierry",9264399.58583856
"511","Huesca","Château-Thierry",822656.380368152
"512","La Rioja","Château-Thierry",874468.946656632
"513","Lugo","Château-Thierry",1079221.96845677
"514","Madrid","Château-Thierry",1111099.11949861
"515","Málaga","Château-Thierry",1513074.5154243
